localhost:9200/cloplag_hi_ngram_lmjelinekmercer/src, norm: 0, 4-ngram = true, DFS=true
guessword$0_orig$GuessWord.java,2
guessword$1_artifice$GuessWord.java,2
guessword$test_0_orig_no_krakatau$GuessWord.java,4
guessword$test_0_orig_no_procyon$GuessWord.java,2
guessword$test_0_orig_pg_krakatau$GuessWord.java,4
guessword$test_0_orig_pg_procyon$GuessWord.java,4
guessword$test_1_artifice_no_krakatau$GuessWord.java,4
guessword$test_1_artifice_no_procyon$GuessWord.java,2
guessword$test_1_artifice_pg_krakatau$GuessWord.java,4
guessword$test_1_artifice_pg_procyon$GuessWord.java,4
hanoi$0_orig$Main.java,1
hanoi$1_artifice$Main.java,1
hanoi$test_0_orig_no_krakatau$Main.java,0
hanoi$test_0_orig_no_procyon$Main.java,1
hanoi$test_0_orig_pg_krakatau$Main.java,0
hanoi$test_0_orig_pg_procyon$Main.java,1
hanoi$test_1_artifice_no_krakatau$Main.java,0
hanoi$test_1_artifice_no_procyon$Main.java,1
hanoi$test_1_artifice_pg_krakatau$Main.java,0
hanoi$test_1_artifice_pg_procyon$Main.java,1
InfixConverter$0_orig$InfixConverter.java,6
InfixConverter$1_artifice$InfixConverter.java,6
InfixConverter$test_0_orig_no_krakatau$InfixConverter.java,0
InfixConverter$test_0_orig_no_procyon$InfixConverter.java,6
InfixConverter$test_0_orig_pg_krakatau$InfixConverter.java,0
InfixConverter$test_0_orig_pg_procyon$InfixConverter.java,6
InfixConverter$test_1_artifice_no_krakatau$InfixConverter.java,0
InfixConverter$test_1_artifice_no_procyon$InfixConverter.java,6
InfixConverter$test_1_artifice_pg_krakatau$InfixConverter.java,0
InfixConverter$test_1_artifice_pg_procyon$InfixConverter.java,6
intersection$0_orig$Intersection.java,2
intersection$1_artifice$Intersection.java,2
intersection$test_0_orig_no_krakatau$Intersection.java,6
intersection$test_0_orig_no_procyon$Intersection.java,2
intersection$test_0_orig_pg_krakatau$Intersection.java,6
intersection$test_0_orig_pg_procyon$Intersection.java,3
intersection$test_1_artifice_no_krakatau$Intersection.java,6
intersection$test_1_artifice_no_procyon$Intersection.java,2
intersection$test_1_artifice_pg_krakatau$Intersection.java,6
